社名,問い合わせからの経過日数,接触回数,最終接触からの経過日数,資料請求,デモ版利用,セミナー参加,顧客の業種,顧客の従業員規模,商談フェーズ,提案金額,競合,導入予定時期,決裁者の関与度,企業規模（売上高）,契約成立
企業_8985_DZP8QENC,136,2,54,1,1,1,その他,1-10名,初期ヒアリング,2200000,1,3ヶ月以内,高い,1億円未満,1
企業_8986_PPXEHXXU,151,5,31,0,1,1,小売,1-10名,見積もり,4110000,1,1年以内,普通,100億円以上,1
企業_8987_VBAZGXPZ,106,2,83,1,0,1,製造業,501名以上,見積もり,1320000,0,未定,低い,10億円～100億円,0
企業_8988_0PJOEWXL,125,7,27,0,1,0,サービス,11-50名,提案,3040000,1,半年以内,低い,1億円未満,1
企業_8989_HXI7DXQ0,113,4,7,0,0,1,サービス,1-10名,見積もり,4680000,1,1年以内,高い,10億円～100億円,0
企業_8990_LQDUHIPQ,64,3,2,0,1,0,IT,101-500名,見積もり,4680000,0,未定,高い,10億円～100億円,0
企業_8991_02Y2QIGC,123,8,88,0,1,1,製造業,1-10名,初期ヒアリング,2950000,0,3ヶ月以内,低い,100億円以上,0
企業_8992_OPF00T5V,114,4,52,1,1,1,製造業,11-50名,クロージング,2850000,1,半年以内,普通,10億円～100億円,1
企業_8993_NWB6TW8E,20,3,28,0,0,0,金融,101-500名,初期ヒアリング,2530000,0,3ヶ月以内,普通,10億円～100億円,0
企業_8994_MHAMZ649,16,7,88,1,1,0,小売,11-50名,クロージング,2590000,0,半年以内,普通,100億円以上,1
企業_8995_X8KY7G3U,145,7,80,1,1,1,サービス,501名以上,提案,1520000,0,3ヶ月以内,高い,1億円～10億円,0
企業_8996_E57KVR83,19,7,58,0,0,0,金融,51-100名,交渉,2580000,0,3ヶ月以内,低い,1億円未満,1
企業_8997_TRNV87IW,120,3,23,0,1,1,IT,11-50名,初期ヒアリング,3290000,0,未定,低い,10億円～100億円,1
企業_8998_8G2O56NM,136,0,37,0,1,1,サービス,101-500名,初期ヒアリング,3840000,0,未定,低い,100億円以上,1
企業_8999_F52HH0D6,166,1,27,0,1,1,小売,101-500名,初期ヒアリング,4180000,1,1年以内,高い,100億円以上,0
企業_9000_5B6Y3GXE,38,3,61,1,1,1,IT,501名以上,提案,4420000,1,未定,普通,100億円以上,1
企業_9001_A3BKKQPP,93,9,50,1,1,1,IT,501名以上,見積もり,760000,1,3ヶ月以内,普通,1億円～10億円,1
企業_9002_ZBL1U4L8,105,1,6,1,1,1,小売,51-100名,交渉,1310000,1,半年以内,高い,1億円未満,1
企業_9003_187CUB3Z,100,9,22,1,0,1,その他,101-500名,見積もり,2440000,1,3ヶ月以内,低い,10億円～100億円,1
企業_9004_7A70FB58,90,2,45,0,1,1,金融,1-10名,クロージング,2910000,1,半年以内,低い,100億円以上,1
企業_9005_NX04CIZC,159,8,89,0,0,1,小売,11-50名,見積もり,4380000,1,1年以内,低い,1億円未満,0
企業_9006_AM430372,44,8,77,1,0,1,製造業,11-50名,提案,2290000,1,未定,普通,1億円～10億円,0
企業_9007_I8VBVNLY,76,8,27,1,0,1,サービス,101-500名,クロージング,1350000,0,未定,高い,1億円未満,1
企業_9008_3FS267JX,145,6,23,1,0,0,小売,1-10名,クロージング,2710000,1,未定,普通,1億円～10億円,1
企業_9009_LRH4SV07,79,3,6,0,1,0,その他,501名以上,提案,2470000,1,1年以内,低い,1億円～10億円,0
企業_9010_FUYYQTFM,73,0,78,0,1,1,サービス,51-100名,初期ヒアリング,410000,0,半年以内,低い,1億円～10億円,1
企業_9011_ISMKE86B,167,2,48,1,0,1,製造業,51-100名,提案,2120000,0,3ヶ月以内,普通,100億円以上,0
企業_9012_AL4AFPFG,170,7,2,0,0,1,製造業,51-100名,提案,4700000,1,半年以内,高い,100億円以上,0
企業_9013_0TVM7J14,176,3,1,1,1,1,製造業,501名以上,交渉,2820000,0,1年以内,高い,1億円～10億円,0
企業_9014_65R3R3GK,140,9,6,1,1,0,小売,1-10名,交渉,1830000,1,半年以内,低い,1億円未満,1
企業_9015_RNRUP2LO,96,9,79,0,1,0,金融,11-50名,交渉,3180000,0,未定,高い,100億円以上,1
企業_9016_NRQAM6UW,89,1,20,0,0,0,サービス,501名以上,交渉,2470000,1,半年以内,普通,10億円～100億円,1
企業_9017_XG6ILBJF,103,7,8,1,0,1,小売,51-100名,クロージング,3650000,0,3ヶ月以内,低い,100億円以上,0
企業_9018_6OJTXBDL,146,6,11,0,0,0,IT,1-10名,交渉,4870000,0,未定,高い,1億円～10億円,1
企業_9019_ZMH8FFPW,6,9,23,0,1,0,金融,11-50名,クロージング,3970000,1,1年以内,低い,100億円以上,1
企業_9020_7RGVELL6,122,8,32,0,0,0,サービス,101-500名,提案,4710000,1,1年以内,普通,100億円以上,1
企業_9021_ESD1SVAF,171,1,77,0,0,0,金融,51-100名,提案,1190000,1,1年以内,高い,100億円以上,0
企業_9022_PS4V32PR,116,4,42,0,1,0,小売,501名以上,クロージング,4210000,1,3ヶ月以内,普通,100億円以上,1
企業_9023_06NZYMWV,163,5,81,0,1,1,サービス,1-10名,見積もり,800000,1,半年以内,低い,10億円～100億円,1
企業_9024_6STSSFHA,62,1,4,1,1,0,その他,1-10名,提案,1530000,0,未定,低い,100億円以上,1
企業_9025_162LU3WR,144,1,78,1,1,0,小売,101-500名,提案,2150000,0,3ヶ月以内,低い,10億円～100億円,1
企業_9026_RWWC0RA7,136,9,70,1,1,0,製造業,51-100名,クロージング,3660000,1,半年以内,高い,100億円以上,1
企業_9027_2YJKJ8YV,89,3,88,1,0,1,IT,51-100名,交渉,4320000,0,3ヶ月以内,低い,1億円未満,1
企業_9028_HZSRADTL,96,7,13,0,0,0,IT,1-10名,初期ヒアリング,2500000,0,半年以内,普通,1億円未満,0
企業_9029_JJ0Z7D2D,126,4,35,1,1,0,製造業,11-50名,クロージング,1000000,1,半年以内,低い,100億円以上,1
企業_9030_EY5XZTXF,90,8,34,0,0,1,金融,101-500名,見積もり,1670000,0,3ヶ月以内,高い,10億円～100億円,1
企業_9031_IW87EY4T,86,3,49,1,1,1,金融,11-50名,初期ヒアリング,2160000,1,1年以内,普通,1億円～10億円,1
企業_9032_O4HU2L4Y,159,2,87,1,0,0,その他,51-100名,初期ヒアリング,660000,0,未定,低い,10億円～100億円,0
企業_9033_Y0YV8IYB,138,9,78,0,1,0,その他,1-10名,クロージング,650000,1,1年以内,高い,1億円未満,1
企業_9034_4G3RJKMP,121,7,10,0,1,0,小売,101-500名,提案,1760000,0,未定,普通,100億円以上,1
企業_9035_XOL4RMHA,76,0,23,1,0,1,IT,101-500名,クロージング,1360000,0,1年以内,普通,1億円未満,1
企業_9036_J3F0E4S1,92,8,74,0,1,1,その他,501名以上,初期ヒアリング,4350000,1,未定,普通,100億円以上,0
企業_9037_3ZWXQQRJ,70,3,43,0,1,0,その他,1-10名,クロージング,270000,1,3ヶ月以内,普通,10億円～100億円,1
企業_9038_DRII6OHD,148,8,50,0,1,0,金融,11-50名,提案,840000,0,未定,低い,1億円未満,0
企業_9039_G4WEI2VM,133,7,16,0,0,0,小売,101-500名,見積もり,2870000,1,未定,普通,1億円未満,1
企業_9040_AV94PEH9,23,2,69,1,0,0,製造業,101-500名,提案,3970000,0,1年以内,普通,100億円以上,0
企業_9041_HRP3W1BX,137,2,84,0,1,0,小売,501名以上,見積もり,2680000,1,未定,普通,10億円～100億円,1
企業_9042_DZLPQNYI,58,8,7,1,0,0,その他,11-50名,提案,4540000,1,3ヶ月以内,高い,100億円以上,0
企業_9043_6137QLZW,46,2,78,1,0,0,その他,11-50名,見積もり,330000,0,半年以内,普通,1億円～10億円,1
企業_9044_E5TB2YPR,22,3,73,1,1,0,製造業,1-10名,初期ヒアリング,4710000,0,3ヶ月以内,低い,10億円～100億円,1
企業_9045_F5U3DY0M,8,8,27,1,0,1,IT,1-10名,交渉,3170000,0,1年以内,低い,10億円～100億円,1
企業_9046_YRV65AGD,123,3,78,1,1,0,IT,11-50名,交渉,760000,0,1年以内,高い,1億円未満,1
企業_9047_X74VYNH9,20,2,11,1,1,0,金融,1-10名,提案,1320000,0,3ヶ月以内,普通,100億円以上,1
企業_9048_LD7VINSN,179,6,42,1,1,1,小売,101-500名,クロージング,2960000,1,1年以内,普通,1億円未満,1
企業_9049_VK8DQQVN,78,5,81,0,1,1,IT,501名以上,提案,620000,0,半年以内,高い,1億円～10億円,0
企業_9050_RMAAK0BW,39,0,36,1,0,1,サービス,501名以上,見積もり,4540000,1,未定,高い,1億円未満,0
企業_9051_ZRARNLAF,37,9,87,0,1,0,その他,11-50名,交渉,1300000,1,1年以内,低い,1億円未満,0
企業_9052_T5EWIXVT,178,7,62,0,0,0,金融,1-10名,提案,1950000,1,3ヶ月以内,普通,1億円未満,0
企業_9053_P6R7VAU1,162,0,62,1,0,0,サービス,11-50名,提案,4280000,1,未定,普通,100億円以上,0
企業_9054_QA0LYQNP,75,3,9,1,0,1,小売,51-100名,見積もり,2960000,1,1年以内,低い,1億円～10億円,0
企業_9055_PK5GTN6H,118,5,77,1,1,0,サービス,501名以上,クロージング,4500000,1,1年以内,普通,100億円以上,1
企業_9056_614Q8CKE,104,5,79,0,1,0,小売,101-500名,クロージング,2530000,0,3ヶ月以内,高い,100億円以上,0
企業_9057_N729MIC4,161,6,36,0,1,0,金融,11-50名,クロージング,850000,0,未定,高い,100億円以上,1
企業_9058_PWM982ZH,31,4,10,0,1,0,その他,501名以上,提案,4030000,1,半年以内,低い,100億円以上,0
企業_9059_YUOLXNFB,123,4,89,1,1,1,その他,501名以上,提案,930000,0,1年以内,低い,1億円～10億円,1
企業_9060_S7WS0I36,54,3,18,0,1,0,小売,51-100名,見積もり,4110000,0,半年以内,高い,100億円以上,0
企業_9061_TEUOZ5G0,172,5,51,1,1,0,その他,101-500名,提案,3730000,0,半年以内,普通,1億円～10億円,1
企業_9062_6VADPF6I,34,6,17,0,0,0,IT,501名以上,交渉,3210000,0,半年以内,低い,1億円～10億円,0
企業_9063_1ODLT027,122,9,31,1,0,0,金融,101-500名,見積もり,3010000,0,半年以内,高い,1億円～10億円,1
企業_9064_JR9JDLUQ,113,9,22,1,1,1,サービス,11-50名,初期ヒアリング,3160000,1,3ヶ月以内,低い,1億円～10億円,0
企業_9065_682KUUS7,62,0,11,1,1,0,その他,101-500名,クロージング,4540000,0,未定,高い,100億円以上,1
企業_9066_A9HZWII6,23,8,57,0,0,1,サービス,11-50名,交渉,1560000,1,半年以内,低い,1億円～10億円,1
企業_9067_BW4RNQ7S,46,7,76,0,1,0,IT,501名以上,交渉,3460000,1,1年以内,普通,100億円以上,0
企業_9068_E3AC8W8Y,56,6,20,0,0,0,金融,11-50名,クロージング,3690000,0,未定,高い,1億円～10億円,1
企業_9069_LEGT5UFH,135,8,20,0,0,1,製造業,1-10名,見積もり,3900000,1,未定,低い,1億円未満,1
企業_9070_YPO8MN87,118,2,28,0,1,1,サービス,501名以上,初期ヒアリング,4040000,1,1年以内,普通,100億円以上,0
企業_9071_XF3UELRP,131,9,78,1,1,0,IT,11-50名,クロージング,140000,0,3ヶ月以内,高い,1億円～10億円,1
企業_9072_DV81W6KF,166,3,46,1,0,1,製造業,501名以上,交渉,1100000,1,半年以内,低い,10億円～100億円,0
企業_9073_D387P24D,162,6,11,1,0,0,金融,51-100名,見積もり,4380000,0,未定,普通,1億円～10億円,1
企業_9074_IUEGAMY7,113,5,57,1,1,0,小売,101-500名,見積もり,1090000,1,3ヶ月以内,高い,100億円以上,1
企業_9075_TPME6IG7,44,1,40,0,0,1,その他,1-10名,提案,1820000,0,半年以内,高い,1億円未満,1
企業_9076_AX4BAODY,128,1,18,0,1,0,製造業,51-100名,見積もり,4410000,0,1年以内,低い,1億円～10億円,1
企業_9077_STBDNTSY,108,9,11,1,1,0,金融,11-50名,提案,1170000,1,1年以内,普通,1億円未満,1
企業_9078_N2Q775P4,158,6,22,1,1,1,製造業,501名以上,クロージング,2790000,1,未定,普通,1億円未満,0
企業_9079_HKUJ339P,17,8,4,0,1,1,IT,101-500名,提案,3820000,1,1年以内,高い,100億円以上,1
企業_9080_VOUXN9US,59,8,25,0,0,0,金融,1-10名,交渉,370000,1,1年以内,普通,100億円以上,1
企業_9081_OV557EMX,138,6,62,1,1,0,金融,101-500名,クロージング,2540000,0,未定,普通,100億円以上,1
企業_9082_14GP9ESG,99,7,51,1,1,0,小売,501名以上,提案,2740000,0,3ヶ月以内,高い,1億円～10億円,1
企業_9083_35L25PAW,84,9,9,0,0,1,その他,501名以上,クロージング,3240000,1,3ヶ月以内,高い,100億円以上,1
企業_9084_KO3HDZ4O,146,2,85,0,0,0,金融,101-500名,見積もり,470000,0,1年以内,低い,100億円以上,1
企業_9085_IS9M89F6,45,0,38,0,0,0,IT,101-500名,見積もり,1020000,1,半年以内,高い,1億円未満,0
企業_9086_B88308BT,108,6,22,1,1,1,金融,1-10名,初期ヒアリング,1620000,1,半年以内,低い,10億円～100億円,0
企業_9087_QE7H3N3H,62,7,10,1,0,0,金融,101-500名,交渉,3370000,0,1年以内,普通,100億円以上,0
企業_9088_HAJ8FONU,59,1,71,0,0,1,サービス,101-500名,見積もり,570000,1,3ヶ月以内,高い,1億円未満,0
企業_9089_6TQ4831X,177,8,47,1,1,1,その他,1-10名,提案,4120000,0,半年以内,普通,10億円～100億円,1
企業_9090_5FDMFIVP,160,3,15,1,0,0,IT,101-500名,見積もり,1390000,0,1年以内,普通,100億円以上,1
企業_9091_K9XNLH57,138,9,45,0,0,1,サービス,101-500名,初期ヒアリング,150000,0,1年以内,普通,1億円未満,0
企業_9092_CQFK68TX,11,8,46,1,0,0,製造業,11-50名,クロージング,4230000,0,1年以内,低い,1億円未満,1
企業_9093_RJWTUH3S,102,2,47,1,0,0,その他,101-500名,見積もり,700000,0,半年以内,低い,1億円～10億円,0
企業_9094_GSJSARH2,70,7,79,1,1,1,製造業,501名以上,提案,2670000,0,未定,低い,1億円～10億円,1
企業_9095_GFTI12U5,123,1,68,0,1,1,IT,11-50名,クロージング,4440000,0,1年以内,低い,10億円～100億円,1
企業_9096_JCP0AG8D,175,2,24,0,1,1,サービス,1-10名,クロージング,3480000,1,3ヶ月以内,低い,10億円～100億円,0
企業_9097_CRAPAMED,34,0,76,1,0,0,製造業,51-100名,クロージング,2780000,0,半年以内,低い,10億円～100億円,0
企業_9098_IER31BIT,101,4,80,1,0,0,サービス,1-10名,見積もり,3140000,1,3ヶ月以内,普通,1億円未満,1
企業_9099_OD22X2YP,145,3,36,1,0,1,金融,101-500名,クロージング,2540000,0,未定,普通,100億円以上,1
企業_9100_Z9GO006B,104,0,62,1,1,0,金融,501名以上,見積もり,170000,1,未定,低い,10億円～100億円,1
企業_9101_JSKIFSWC,40,9,28,0,0,1,その他,11-50名,交渉,2740000,0,1年以内,高い,100億円以上,1
企業_9102_V27E030N,19,8,57,1,1,0,金融,1-10名,初期ヒアリング,1600000,0,未定,低い,1億円未満,0
企業_9103_4H9YK62R,67,5,30,1,1,0,金融,11-50名,提案,4940000,0,半年以内,高い,100億円以上,1
企業_9104_8VLASQF2,82,5,85,1,0,0,その他,11-50名,クロージング,2090000,1,半年以内,普通,1億円未満,1
企業_9105_PU40FM2I,64,1,88,1,0,0,その他,11-50名,交渉,3380000,1,1年以内,高い,10億円～100億円,1
企業_9106_IEESTMLC,83,6,67,0,0,1,その他,51-100名,クロージング,4090000,0,未定,低い,1億円未満,0
企業_9107_QM5DVVNE,47,8,40,1,1,0,金融,51-100名,交渉,4090000,1,半年以内,普通,1億円未満,1
企業_9108_B2E2TWD3,6,5,49,0,0,1,IT,11-50名,見積もり,2770000,0,未定,普通,100億円以上,0
企業_9109_P96P5FYH,16,7,43,0,0,0,サービス,1-10名,見積もり,2260000,1,未定,低い,100億円以上,1
企業_9110_28OHXMZE,146,4,8,1,0,0,サービス,101-500名,提案,3860000,1,半年以内,高い,10億円～100億円,0
企業_9111_PH4CEGL6,176,1,58,0,0,1,金融,51-100名,見積もり,4040000,0,半年以内,低い,1億円～10億円,0
企業_9112_T4FVKLLJ,171,3,89,0,0,0,製造業,1-10名,クロージング,3470000,0,半年以内,高い,10億円～100億円,0
企業_9113_ICS98Z3R,39,0,26,0,1,1,IT,51-100名,初期ヒアリング,4060000,1,未定,低い,1億円～10億円,1
企業_9114_17UYNDS5,177,0,81,1,0,0,製造業,501名以上,交渉,4280000,1,半年以内,低い,1億円未満,1
企業_9115_TFMJ7YIK,113,5,58,0,1,0,サービス,101-500名,交渉,2190000,1,3ヶ月以内,低い,1億円未満,0
企業_9116_QAEITG8G,140,1,2,0,1,0,金融,1-10名,見積もり,3720000,0,半年以内,普通,10億円～100億円,1
企業_9117_TZSUQZBF,138,5,6,1,0,1,金融,51-100名,初期ヒアリング,4870000,1,未定,低い,10億円～100億円,0
企業_9118_LQ6D32SD,71,0,81,0,1,0,小売,101-500名,見積もり,1800000,0,1年以内,普通,10億円～100億円,1
企業_9119_23A9ABE9,110,9,15,1,1,1,小売,501名以上,交渉,1100000,1,半年以内,低い,100億円以上,0
企業_9120_WIFUU734,55,2,48,1,0,0,金融,11-50名,初期ヒアリング,4230000,1,1年以内,高い,100億円以上,1
企業_9121_66Q6B4ZX,129,8,31,1,1,1,製造業,1-10名,クロージング,690000,0,3ヶ月以内,低い,10億円～100億円,0
企業_9122_8XKN3U4S,49,1,88,1,1,1,IT,501名以上,クロージング,3320000,0,半年以内,低い,1億円～10億円,1
企業_9123_16KZKSBM,164,7,43,1,1,1,製造業,11-50名,提案,380000,0,1年以内,普通,1億円～10億円,0
企業_9124_2ZSWRN89,21,5,18,0,1,1,製造業,1-10名,初期ヒアリング,1620000,1,1年以内,普通,1億円～10億円,0
企業_9125_91LGDNWD,37,5,2,1,0,0,サービス,501名以上,初期ヒアリング,750000,1,未定,普通,1億円～10億円,1
企業_9126_X10WXXCR,116,6,59,0,1,1,製造業,11-50名,クロージング,2480000,1,3ヶ月以内,低い,1億円未満,1
企業_9127_GW8XV3R3,24,4,34,0,0,1,製造業,51-100名,クロージング,140000,0,半年以内,普通,1億円未満,0
企業_9128_AAS8O0C1,55,3,28,1,1,0,サービス,501名以上,見積もり,1330000,0,半年以内,高い,100億円以上,0
企業_9129_3PQZYZIZ,25,5,74,0,1,1,サービス,101-500名,見積もり,1040000,0,3ヶ月以内,低い,10億円～100億円,1
企業_9130_QAYJBNOO,135,7,69,0,0,0,その他,101-500名,提案,140000,1,3ヶ月以内,高い,100億円以上,1
企業_9131_QXZYKUQR,127,3,82,1,1,0,サービス,501名以上,クロージング,940000,1,未定,低い,100億円以上,1
企業_9132_03J6KKV8,93,4,44,1,1,0,サービス,1-10名,クロージング,2490000,1,未定,高い,10億円～100億円,1
企業_9133_4MEQF1SB,94,6,26,1,0,0,その他,501名以上,交渉,580000,0,3ヶ月以内,低い,1億円未満,1
企業_9134_E2JF2UD3,71,5,68,0,0,1,サービス,501名以上,提案,350000,1,3ヶ月以内,高い,10億円～100億円,1
企業_9135_G7IPBIZZ,122,3,89,0,0,0,その他,501名以上,見積もり,3360000,0,未定,普通,10億円～100億円,0
企業_9136_P9I0U0NB,24,3,34,0,0,1,IT,51-100名,見積もり,4230000,1,半年以内,高い,1億円～10億円,1
企業_9137_JI4GM4MC,11,9,18,0,0,0,小売,11-50名,クロージング,1070000,0,1年以内,高い,1億円未満,0
企業_9138_W2BY9TG7,73,3,16,1,0,1,小売,101-500名,交渉,4210000,1,1年以内,高い,1億円未満,1
企業_9139_C4Z0GWG0,12,0,34,0,0,0,IT,501名以上,交渉,3910000,1,3ヶ月以内,高い,1億円未満,0
企業_9140_YJUA3AH9,35,4,76,0,0,1,IT,501名以上,クロージング,2790000,0,半年以内,普通,1億円～10億円,1
企業_9141_HMPKDTJA,141,7,77,1,1,0,製造業,501名以上,交渉,2830000,0,未定,高い,10億円～100億円,1
企業_9142_3OZNQIAM,23,6,29,0,0,1,IT,51-100名,交渉,3220000,0,1年以内,普通,1億円～10億円,1
企業_9143_DSGV4BUB,83,4,47,1,1,1,小売,501名以上,交渉,2450000,0,1年以内,普通,1億円未満,0
企業_9144_32QL4K0G,167,2,56,0,1,1,金融,1-10名,クロージング,2180000,1,未定,低い,100億円以上,1
企業_9145_OMNK6LZ6,88,0,16,1,1,0,金融,11-50名,クロージング,340000,0,半年以内,普通,100億円以上,0
企業_9146_WJAJOWLD,80,6,14,0,0,1,その他,11-50名,クロージング,3350000,1,1年以内,普通,1億円～10億円,1
企業_9147_YP9BMXZR,97,2,81,1,0,1,金融,1-10名,クロージング,1420000,1,半年以内,高い,1億円未満,1
企業_9148_9MVHF616,140,3,13,0,1,1,製造業,51-100名,見積もり,1900000,1,1年以内,低い,100億円以上,0
企業_9149_C9TAZ4RF,34,4,13,0,0,0,小売,1-10名,交渉,940000,0,3ヶ月以内,高い,1億円未満,0
企業_9150_TG7AHO8H,75,7,44,1,0,0,サービス,501名以上,初期ヒアリング,2550000,0,1年以内,低い,10億円～100億円,1
企業_9151_D33G1ZAY,159,6,37,1,0,1,サービス,11-50名,交渉,480000,0,半年以内,高い,100億円以上,1
企業_9152_ZBIW981Q,128,8,62,1,0,1,金融,501名以上,初期ヒアリング,2600000,0,3ヶ月以内,高い,100億円以上,1
企業_9153_0GQ01OG5,141,2,74,0,1,1,製造業,101-500名,交渉,4500000,0,3ヶ月以内,低い,100億円以上,0
企業_9154_0A3QSG17,31,9,10,1,0,1,その他,501名以上,初期ヒアリング,1230000,0,半年以内,普通,1億円未満,0
企業_9155_EQ0H90OQ,130,0,47,1,1,1,金融,51-100名,交渉,4770000,0,半年以内,高い,1億円未満,1
企業_9156_IOINU6G8,103,0,25,0,0,0,IT,501名以上,クロージング,2760000,0,半年以内,高い,100億円以上,0
企業_9157_96X2I0B1,15,9,66,1,1,0,その他,51-100名,初期ヒアリング,4620000,1,3ヶ月以内,高い,100億円以上,0
企業_9158_X5JYWISG,57,0,24,1,1,0,IT,11-50名,初期ヒアリング,1110000,1,未定,低い,1億円～10億円,0
企業_9159_T2YSRM2V,75,1,80,1,0,0,製造業,51-100名,見積もり,4960000,0,未定,低い,1億円未満,0
企業_9160_CARW05BR,34,1,60,0,0,0,製造業,501名以上,クロージング,2360000,1,未定,普通,1億円未満,0
企業_9161_RXQQL6OO,103,6,85,0,1,0,その他,51-100名,交渉,2630000,0,3ヶ月以内,低い,100億円以上,0
企業_9162_6116JISK,75,8,25,0,1,1,製造業,501名以上,初期ヒアリング,2360000,0,未定,高い,100億円以上,0
企業_9163_E9VYDR4D,29,7,33,1,0,0,その他,501名以上,初期ヒアリング,2580000,0,未定,普通,1億円未満,0
企業_9164_7TFL5XNU,16,3,89,0,0,1,製造業,501名以上,初期ヒアリング,2900000,1,未定,低い,1億円～10億円,1
企業_9165_9HL3ROSJ,167,1,8,0,0,0,金融,1-10名,提案,1670000,0,1年以内,高い,1億円～10億円,0
企業_9166_1C5BVIS9,77,2,39,0,0,1,製造業,1-10名,クロージング,110000,1,未定,低い,1億円未満,0
企業_9167_XESNR8CL,37,9,74,1,1,1,製造業,51-100名,見積もり,2210000,1,未定,高い,10億円～100億円,1
企業_9168_26VJAFEM,81,4,6,0,0,1,製造業,51-100名,交渉,450000,0,半年以内,普通,100億円以上,0
企業_9169_703HVJ0J,149,8,29,0,0,1,IT,101-500名,初期ヒアリング,460000,1,3ヶ月以内,高い,10億円～100億円,0
企業_9170_9MVYTAKI,172,7,65,0,0,0,小売,501名以上,見積もり,2670000,1,3ヶ月以内,高い,1億円～10億円,1
企業_9171_P6IM4RBS,124,2,29,0,1,0,その他,501名以上,交渉,2490000,0,3ヶ月以内,低い,100億円以上,1
企業_9172_XAZ2EHLR,19,8,67,1,0,1,IT,101-500名,交渉,3730000,0,3ヶ月以内,高い,10億円～100億円,1
企業_9173_XNGA4K81,102,9,57,0,1,1,IT,1-10名,見積もり,4400000,0,1年以内,高い,1億円未満,1
企業_9174_3MFACFKK,136,2,54,0,0,1,IT,101-500名,交渉,1000000,0,3ヶ月以内,普通,1億円未満,1
企業_9175_5ACKYGK4,77,9,13,0,1,1,小売,1-10名,交渉,1050000,0,半年以内,低い,100億円以上,0
企業_9176_3449PRW1,41,7,76,1,1,0,小売,51-100名,見積もり,1960000,1,1年以内,高い,100億円以上,1
企業_9177_5G0CQIIW,61,0,88,1,0,0,IT,11-50名,初期ヒアリング,2690000,1,半年以内,高い,10億円～100億円,0
企業_9178_47XHEBL3,26,3,76,0,1,1,製造業,11-50名,見積もり,2280000,1,未定,低い,1億円未満,0
企業_9179_QTU6YNCI,71,3,76,1,1,1,IT,501名以上,初期ヒアリング,3590000,1,半年以内,高い,1億円～10億円,0
企業_9180_ONV2GW1M,103,5,36,0,0,1,IT,101-500名,クロージング,2040000,1,未定,高い,100億円以上,0
企業_9181_TDZQYZG2,70,1,43,1,1,1,その他,101-500名,クロージング,550000,0,3ヶ月以内,低い,100億円以上,1
企業_9182_ACFZ694D,107,6,5,1,0,1,サービス,101-500名,交渉,3740000,1,3ヶ月以内,高い,1億円～10億円,0
企業_9183_YY5GLAID,157,4,25,0,0,1,サービス,101-500名,初期ヒアリング,4840000,0,未定,高い,1億円～10億円,0
企業_9184_GR8T0R5T,107,9,13,1,0,0,IT,11-50名,初期ヒアリング,3670000,1,未定,高い,1億円～10億円,1
企業_9185_O3O3JNHQ,103,5,7,1,1,1,小売,501名以上,交渉,4290000,1,未定,高い,1億円未満,1
企業_9186_W7L9BI5O,19,5,23,0,1,1,IT,11-50名,交渉,740000,1,1年以内,低い,100億円以上,1
企業_9187_0XLX3DEW,68,5,85,0,1,1,金融,1-10名,見積もり,2360000,0,半年以内,普通,1億円未満,1
企業_9188_S612ZQJF,70,9,38,1,1,1,IT,501名以上,見積もり,650000,1,半年以内,低い,1億円未満,1
企業_9189_QU591GVC,113,7,48,1,0,1,IT,101-500名,クロージング,2130000,0,1年以内,高い,1億円～10億円,1
企業_9190_AZ56T7WK,57,9,84,1,1,1,金融,51-100名,提案,440000,1,半年以内,低い,1億円未満,0
企業_9191_ZTAMWZW8,165,3,62,1,0,1,その他,101-500名,提案,1280000,1,半年以内,低い,1億円～10億円,1
企業_9192_H4WLDF0U,61,9,25,0,1,0,IT,1-10名,見積もり,4750000,0,1年以内,普通,1億円未満,1
企業_9193_14AM6FC8,92,7,9,1,1,1,IT,501名以上,提案,2470000,0,半年以内,高い,10億円～100億円,1
企業_9194_2M1MZL30,30,8,76,0,1,0,IT,1-10名,見積もり,1100000,1,半年以内,低い,1億円未満,0
企業_9195_S22YV1V2,153,3,57,0,0,1,サービス,101-500名,クロージング,2880000,1,半年以内,普通,100億円以上,0
企業_9196_O4P5R2HV,127,0,13,0,0,0,製造業,101-500名,交渉,2340000,1,半年以内,低い,1億円～10億円,0
企業_9197_5X2N67QO,115,2,72,1,0,0,サービス,501名以上,クロージング,3430000,1,1年以内,普通,10億円～100億円,0
企業_9198_7IAOY6J2,6,0,70,1,0,0,製造業,501名以上,クロージング,530000,0,半年以内,普通,100億円以上,1
企業_9199_PCMT23NK,18,6,38,0,1,0,製造業,101-500名,見積もり,100000,1,1年以内,普通,1億円～10億円,1
企業_9200_FABGS2TB,10,0,30,0,1,1,その他,101-500名,初期ヒアリング,2280000,0,未定,低い,10億円～100億円,0
企業_9201_LRR7I1GD,92,3,49,0,1,0,金融,501名以上,見積もり,2250000,0,未定,低い,1億円未満,1
企業_9202_0NTT6DR2,139,0,15,0,1,1,IT,11-50名,見積もり,4590000,1,未定,普通,10億円～100億円,1
企業_9203_WRHJKILI,77,1,71,0,0,1,IT,501名以上,初期ヒアリング,1490000,0,半年以内,普通,100億円以上,0
企業_9204_K7AXN508,101,0,50,1,0,1,製造業,501名以上,見積もり,4060000,1,未定,高い,1億円未満,1
